sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: hmuruges | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.190 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:09 IST Mon Jun 22 2020 | Duration: 9h:55m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 307021490 | Bytes Rx: 232312839 | IP Addr: 10.149.233.190 | Public IP: 103.231.216.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:09 IST Mon Jun 22 2020 | Duration: 9h:55m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 307021490 | Bytes Rx: 232312839 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165229 | Audit Session ID: 0a95072a2856d0005ef018dd | Security Group Tag: none | EasyVPN: 0 |Session ID: 165229 | Audit Session ID: 0a95072a2856d0005ef018dd | Security Group Tag: none | EasyVPN: 0 ||
Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.191 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:12 IST Mon Jun 22 2020 | Duration: 9h:55m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 534041596 | Bytes Rx: 207418587 | IP Addr: 10.149.233.191 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:05:12 IST Mon Jun 22 2020 | Duration: 9h:55m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 534041596 | Bytes Rx: 207418587 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165230 | Audit Session ID: 0a95072a2856e0005ef018e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165230 | Audit Session ID: 0a95072a2856e0005ef018e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: JYarassi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.131 | Public IP: 124.123.28.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:08:30 IST Mon Jun 22 2020 | Duration: 9h:51m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 496887544 | Bytes Rx: 151318796 | IP Addr: 10.149.233.131 | Public IP: 124.123.28.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:08:30 IST Mon Jun 22 2020 | Duration: 9h:51m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 496887544 | Bytes Rx: 151318796 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165233 | Audit Session ID: 0a95072a285710005ef019a6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165233 | Audit Session ID: 0a95072a285710005ef019a6 | Security Group Tag: none | EasyVPN: 0 ||
Username: sivshanm | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.196 | Public IP: 103.88.76.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:15:43 IST Mon Jun 22 2020 | Duration: 9h:44m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 822162983 | Bytes Rx: 1118786965 | IP Addr: 10.149.233.196 | Public IP: 103.88.76.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:15:43 IST Mon Jun 22 2020 | Duration: 9h:44m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 822162983 | Bytes Rx: 1118786965 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165246 | Audit Session ID: 0a95072a2857e0005ef01b57 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165246 | Audit Session ID: 0a95072a2857e0005ef01b57 | Security Group Tag: none | EasyVPN: 0 ||
Username: psalokhe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.199 | Public IP: 106.193.128.145 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:17:56 IST Mon Jun 22 2020 | Duration: 9h:42m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 286707451 | Bytes Rx: 149224654 | IP Addr: 10.149.233.199 | Public IP: 106.193.128.145 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:17:56 IST Mon Jun 22 2020 | Duration: 9h:42m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 286707451 | Bytes Rx: 149224654 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165248 | Audit Session ID: 0a95072a285800005ef01bdc | Security Group Tag: none | EasyVPN: 0 |Session ID: 165248 | Audit Session ID: 0a95072a285800005ef01bdc | Security Group Tag: none | EasyVPN: 0 ||
Username: nikivaid | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.198 | Public IP: 223.229.217.27 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:18:00 IST Mon Jun 22 2020 | Duration: 9h:42m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 568710744 | Bytes Rx: 182751840 | IP Addr: 10.149.233.198 | Public IP: 223.229.217.27 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:18:00 IST Mon Jun 22 2020 | Duration: 9h:42m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 568710744 | Bytes Rx: 182751840 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165249 | Audit Session ID: 0a95072a285810005ef01be0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165249 | Audit Session ID: 0a95072a285810005ef01be0 | Security Group Tag: none | EasyVPN: 0 ||
Username: avengai | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.203 | Public IP: 49.206.127.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:19:18 IST Mon Jun 22 2020 | Duration: 9h:41m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 761974838 | Bytes Rx: 143944251 | IP Addr: 10.149.233.203 | Public IP: 49.206.127.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:19:18 IST Mon Jun 22 2020 | Duration: 9h:41m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 761974838 | Bytes Rx: 143944251 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165253 | Audit Session ID: 0a95072a285850005ef01c2e | Security Group Tag: none | EasyVPN: 0 |Session ID: 165253 | Audit Session ID: 0a95072a285850005ef01c2e | Security Group Tag: none | EasyVPN: 0 ||
Username: ramaredd | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.207 | Public IP: 103.248.211.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:40:46 IST Mon Jun 22 2020 | Duration: 9h:19m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 893503199 | Bytes Rx: 156067928 | IP Addr: 10.149.233.207 | Public IP: 103.248.211.53 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:40:46 IST Mon Jun 22 2020 | Duration: 9h:19m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 893503199 | Bytes Rx: 156067928 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165264 | Audit Session ID: 0a95072a285900005ef02136 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165264 | Audit Session ID: 0a95072a285900005ef02136 | Security Group Tag: none | EasyVPN: 0 ||
Username: ddalipjo | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.208 | Public IP: 122.164.186.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:41:51 IST Mon Jun 22 2020 | Duration: 9h:18m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 235750263 | Bytes Rx: 160304700 | IP Addr: 10.149.233.208 | Public IP: 122.164.186.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:41:51 IST Mon Jun 22 2020 | Duration: 9h:18m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 235750263 | Bytes Rx: 160304700 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165265 | Audit Session ID: 0a95072a285910005ef02177 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165265 | Audit Session ID: 0a95072a285910005ef02177 | Security Group Tag: none | EasyVPN: 0 ||
Username: smrity.bhawna | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.132 | Public IP: 106.51.107.111 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:47:29 IST Mon Jun 22 2020 | Duration: 9h:12m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 1203476138 | Bytes Rx: 254495577 | IP Addr: 10.149.233.132 | Public IP: 106.51.107.111 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:47:29 IST Mon Jun 22 2020 | Duration: 9h:12m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 1203476138 | Bytes Rx: 254495577 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165271 | Audit Session ID: 0a95072a285970005ef022c9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165271 | Audit Session ID: 0a95072a285970005ef022c9 | Security Group Tag: none | EasyVPN: 0 ||
