sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: pgaudet | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.112 | Public IP: 69.165.207.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 02:16:52 GMT Tue Jun 9 2020 | Duration: 4d 6h:43m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 15523342333 | Bytes Rx: 4145098893 | IP Addr: 10.144.230.112 | Public IP: 69.165.207.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 02:16:52 GMT Tue Jun 9 2020 | Duration: 4d 6h:43m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 15523342333 | Bytes Rx: 4145098893 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 67651 | Audit Session ID: 0a90076b108430005edef114 | Security Group Tag: none | EasyVPN: 0 |Session ID: 67651 | Audit Session ID: 0a90076b108430005edef114 | Security Group Tag: none | EasyVPN: 0 ||
Username: RTjan | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.76 | Public IP: 70.106.222.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:07:51 GMT Tue Jun 9 2020 | Duration: 3d 20h:52m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 3407705295 | Bytes Rx: 2562396328 | IP Addr: 10.144.232.76 | Public IP: 70.106.222.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:07:51 GMT Tue Jun 9 2020 | Duration: 3d 20h:52m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 3407705295 | Bytes Rx: 2562396328 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 67900 | Audit Session ID: 0a90076b1093c0005edf7b97 | Security Group Tag: none | EasyVPN: 0 |Session ID: 67900 | Audit Session ID: 0a90076b1093c0005edf7b97 | Security Group Tag: none | EasyVPN: 0 ||
Username: npoirier | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.48 | Public IP: 184.160.149.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:02:59 GMT Tue Jun 9 2020 | Duration: 3d 19h:57m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2862690662 | Bytes Rx: 1080295003 | IP Addr: 10.144.232.48 | Public IP: 184.160.149.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 13:02:59 GMT Tue Jun 9 2020 | Duration: 3d 19h:57m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2862690662 | Bytes Rx: 1080295003 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 67938 | Audit Session ID: 0a90076b109620005edf8883 | Security Group Tag: none | EasyVPN: 0 |Session ID: 67938 | Audit Session ID: 0a90076b109620005edf8883 | Security Group Tag: none | EasyVPN: 0 ||
Username: esgarcia | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.125 | Public IP: 23.121.17.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:27:55 GMT Wed Jun 10 2020 | Duration: 2d 21h:32m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 3245289965 | Bytes Rx: 3346821431 | IP Addr: 10.144.230.125 | Public IP: 23.121.17.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:27:55 GMT Wed Jun 10 2020 | Duration: 2d 21h:32m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 3245289965 | Bytes Rx: 3346821431 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 68304 | Audit Session ID: 0a90076b10ad00005ee0c3bb | Security Group Tag: none | EasyVPN: 0 |Session ID: 68304 | Audit Session ID: 0a90076b10ad00005ee0c3bb | Security Group Tag: none | EasyVPN: 0 ||
Username: mteyssie | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.80 | Public IP: 70.106.193.59 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:48:29 GMT Wed Jun 10 2020 | Duration: 2d 20h:11m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 4848386772 | Bytes Rx: 2256418981 | IP Addr: 10.144.232.80 | Public IP: 70.106.193.59 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:48:29 GMT Wed Jun 10 2020 | Duration: 2d 20h:11m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 4848386772 | Bytes Rx: 2256418981 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 68354 | Audit Session ID: 0a90076b10b020005ee0d69d | Security Group Tag: none | EasyVPN: 0 |Session ID: 68354 | Audit Session ID: 0a90076b10b020005ee0d69d | Security Group Tag: none | EasyVPN: 0 ||
Username: mschneider | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.83 | Public IP: 67.168.104.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:54:55 GMT Wed Jun 10 2020 | Duration: 2d 20h:05m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 3710806848 | Bytes Rx: 1752871656 | IP Addr: 10.144.232.83 | Public IP: 67.168.104.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:54:55 GMT Wed Jun 10 2020 | Duration: 2d 20h:05m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 3710806848 | Bytes Rx: 1752871656 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 68359 | Audit Session ID: 0a90076b10b070005ee0d81f | Security Group Tag: none | EasyVPN: 0 |Session ID: 68359 | Audit Session ID: 0a90076b10b070005ee0d81f | Security Group Tag: none | EasyVPN: 0 ||
Username: carlosb | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.39 | Public IP: 107.171.143.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 19:40:40 GMT Wed Jun 10 2020 | Duration: 2d 13h:19m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 1059635348 | Bytes Rx: 973927786 | IP Addr: 10.144.232.39 | Public IP: 107.171.143.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 19:40:40 GMT Wed Jun 10 2020 | Duration: 2d 13h:19m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 1059635348 | Bytes Rx: 973927786 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 68470 | Audit Session ID: 0a90076b10b760005ee13738 | Security Group Tag: none | EasyVPN: 0 |Session ID: 68470 | Audit Session ID: 0a90076b10b760005ee13738 | Security Group Tag: none | EasyVPN: 0 ||
Username: ssalaiva | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.233.215 | Public IP: 117.193.150.206 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 03:00:57 GMT Thu Jun 11 2020 | Duration: 2d 5h:59m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 398501318 | Bytes Rx: 259889195 | IP Addr: 10.144.233.215 | Public IP: 117.193.150.206 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 03:00:57 GMT Thu Jun 11 2020 | Duration: 2d 5h:59m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 398501318 | Bytes Rx: 259889195 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 68527 | Audit Session ID: 0a90076b10baf0005ee19e69 | Security Group Tag: none | EasyVPN: 0 |Session ID: 68527 | Audit Session ID: 0a90076b10baf0005ee19e69 | Security Group Tag: none | EasyVPN: 0 ||
Username: olivibat | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.88 | Public IP: 173.70.148.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:56:58 GMT Thu Jun 11 2020 | Duration: 1d 21h:03m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 764056138 | Bytes Rx: 200783835 | IP Addr: 10.144.232.88 | Public IP: 173.70.148.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:56:58 GMT Thu Jun 11 2020 | Duration: 1d 21h:03m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 764056138 | Bytes Rx: 200783835 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 68710 | Audit Session ID: 0a90076b10c660005ee21c0a | Security Group Tag: none | EasyVPN: 0 |Session ID: 68710 | Audit Session ID: 0a90076b10c660005ee21c0a | Security Group Tag: none | EasyVPN: 0 ||
Username: ckurmin | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.106 | Public IP: 68.83.81.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:21:21 GMT Thu Jun 11 2020 | Duration: 1d 20h:39m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 1739315634 | Bytes Rx: 460108124 | IP Addr: 10.144.232.106 | Public IP: 68.83.81.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:21:21 GMT Thu Jun 11 2020 | Duration: 1d 20h:39m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 1739315634 | Bytes Rx: 460108124 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 68724 | Audit Session ID: 0a90076b10c740005ee221c1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 68724 | Audit Session ID: 0a90076b10c740005ee221c1 | Security Group Tag: none | EasyVPN: 0 ||
