sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: PranPati | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC8 | IP Addr: 10.150.245.17 | Public IP: 103.255.180.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:46:33 IST Wed Jun 10 2020 | Duration: 6h:45m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 856502704 | Bytes Rx: 517285447 | IP Addr: 10.150.245.17 | Public IP: 103.255.180.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:46:33 IST Wed Jun 10 2020 | Duration: 6h:45m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 856502704 | Bytes Rx: 517285447 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7818 | Audit Session ID: 0a96cf6901e8a0005ee03471 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7818 | Audit Session ID: 0a96cf6901e8a0005ee03471 | Security Group Tag: none | EasyVPN: 0 ||
Username: shreydha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC27 | IP Addr: 10.150.245.36 | Public IP: 103.84.83.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:35 IST Wed Jun 10 2020 | Duration: 6h:43m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 831040505 | Bytes Rx: 211271500 | IP Addr: 10.150.245.36 | Public IP: 103.84.83.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:35 IST Wed Jun 10 2020 | Duration: 6h:43m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 831040505 | Bytes Rx: 211271500 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7821 | Audit Session ID: 0a96cf6901e8d0005ee034eb | Security Group Tag: none | EasyVPN: 0 |Session ID: 7821 | Audit Session ID: 0a96cf6901e8d0005ee034eb | Security Group Tag: none | EasyVPN: 0 ||
Username: SPathare | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.93 | Public IP: 103.252.53.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:38 IST Wed Jun 10 2020 | Duration: 6h:40m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 512560994 | Bytes Rx: 114662125 | IP Addr: 10.150.237.93 | Public IP: 103.252.53.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:38 IST Wed Jun 10 2020 | Duration: 6h:40m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 512560994 | Bytes Rx: 114662125 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7827 | Audit Session ID: 0a96cf6901e930005ee035a2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7827 | Audit Session ID: 0a96cf6901e930005ee035a2 | Security Group Tag: none | EasyVPN: 0 ||
Username: msonawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.97 | Public IP: 103.201.138.208 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:45 IST Wed Jun 10 2020 | Duration: 6h:40m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 161444117 | Bytes Rx: 74801638 | IP Addr: 10.150.237.97 | Public IP: 103.201.138.208 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:45 IST Wed Jun 10 2020 | Duration: 6h:40m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 161444117 | Bytes Rx: 74801638 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7829 | Audit Session ID: 0a96cf6901e950005ee035a9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7829 | Audit Session ID: 0a96cf6901e950005ee035a9 | Security Group Tag: none | EasyVPN: 0 ||
Username: IDhokale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.98 | Public IP: 106.210.205.70 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:50 IST Wed Jun 10 2020 | Duration: 6h:40m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 220603019 | Bytes Rx: 64217827 | IP Addr: 10.150.237.98 | Public IP: 106.210.205.70 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:50 IST Wed Jun 10 2020 | Duration: 6h:40m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 220603019 | Bytes Rx: 64217827 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7830 | Audit Session ID: 0a96cf6901e960005ee035ae | Security Group Tag: none | EasyVPN: 0 |Session ID: 7830 | Audit Session ID: 0a96cf6901e960005ee035ae | Security Group Tag: none | EasyVPN: 0 ||
Username: abhkadam | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.99 | Public IP: 49.35.105.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:55 IST Wed Jun 10 2020 | Duration: 6h:40m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 251353531 | Bytes Rx: 70434495 | IP Addr: 10.150.237.99 | Public IP: 49.35.105.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:55 IST Wed Jun 10 2020 | Duration: 6h:40m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 251353531 | Bytes Rx: 70434495 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7832 | Audit Session ID: 0a96cf6901e980005ee035b3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7832 | Audit Session ID: 0a96cf6901e980005ee035b3 | Security Group Tag: none | EasyVPN: 0 ||
Username: pkasle | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.100 | Public IP: 106.210.243.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:41 IST Wed Jun 10 2020 | Duration: 6h:39m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 339102950 | Bytes Rx: 113852845 | IP Addr: 10.150.237.100 | Public IP: 106.210.243.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:41 IST Wed Jun 10 2020 | Duration: 6h:39m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 339102950 | Bytes Rx: 113852845 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7834 | Audit Session ID: 0a96cf6901e9a0005ee035e1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7834 | Audit Session ID: 0a96cf6901e9a0005ee035e1 | Security Group Tag: none | EasyVPN: 0 ||
Username: Skambale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.101 | Public IP: 103.195.202.63 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:46 IST Wed Jun 10 2020 | Duration: 6h:39m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 92828100 | Bytes Rx: 21031364 | IP Addr: 10.150.237.101 | Public IP: 103.195.202.63 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:46 IST Wed Jun 10 2020 | Duration: 6h:39m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 92828100 | Bytes Rx: 21031364 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7835 | Audit Session ID: 0a96cf6901e9b0005ee035e6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7835 | Audit Session ID: 0a96cf6901e9b0005ee035e6 | Security Group Tag: none | EasyVPN: 0 ||
Username: SNailkar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.103 | Public IP: 106.193.153.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:09 IST Wed Jun 10 2020 | Duration: 6h:38m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 1127288516 | Bytes Rx: 233205973 | IP Addr: 10.150.237.103 | Public IP: 106.193.153.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:09 IST Wed Jun 10 2020 | Duration: 6h:38m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 1127288516 | Bytes Rx: 233205973 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7838 | Audit Session ID: 0a96cf6901e9e0005ee035fd | Security Group Tag: none | EasyVPN: 0 |Session ID: 7838 | Audit Session ID: 0a96cf6901e9e0005ee035fd | Security Group Tag: none | EasyVPN: 0 ||
Username: KKhair | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.106 | Public IP: 103.111.133.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:02 IST Wed Jun 10 2020 | Duration: 6h:38m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 312310316 | Bytes Rx: 167709192 | IP Addr: 10.150.237.106 | Public IP: 103.111.133.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:02 IST Wed Jun 10 2020 | Duration: 6h:38m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 312310316 | Bytes Rx: 167709192 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7841 | Audit Session ID: 0a96cf6901ea10005ee03632 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7841 | Audit Session ID: 0a96cf6901ea10005ee03632 | Security Group Tag: none | EasyVPN: 0 ||
