sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sujyadav | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.156 | Public IP: 106.193.145.92 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:36 IST Sun Jun 7 2020 | Duration: 3h:09m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 396096778 | Bytes Rx: 80862524 | IP Addr: 10.150.237.156 | Public IP: 106.193.145.92 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:20:36 IST Sun Jun 7 2020 | Duration: 3h:09m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 396096778 | Bytes Rx: 80862524 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290977 | Audit Session ID: 0a96cf69470a10005edc640c | Security Group Tag: none | EasyVPN: 0 |Session ID: 290977 | Audit Session ID: 0a96cf69470a10005edc640c | Security Group Tag: none | EasyVPN: 0 ||
Username: ManoMish | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.142 | Public IP: 45.119.59.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:21:34 IST Sun Jun 7 2020 | Duration: 3h:08m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 680757623 | Bytes Rx: 51256005 | IP Addr: 10.150.237.142 | Public IP: 45.119.59.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:21:34 IST Sun Jun 7 2020 | Duration: 3h:08m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 680757623 | Bytes Rx: 51256005 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290979 | Audit Session ID: 0a96cf69470a30005edc6446 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290979 | Audit Session ID: 0a96cf69470a30005edc6446 | Security Group Tag: none | EasyVPN: 0 ||
Username: aishinde | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.158 | Public IP: 157.33.164.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:32 IST Sun Jun 7 2020 | Duration: 3h:07m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 128968568 | Bytes Rx: 39987616 | IP Addr: 10.150.237.158 | Public IP: 157.33.164.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:32 IST Sun Jun 7 2020 | Duration: 3h:07m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 128968568 | Bytes Rx: 39987616 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290981 | Audit Session ID: 0a96cf69470a50005edc6480 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290981 | Audit Session ID: 0a96cf69470a50005edc6480 | Security Group Tag: none | EasyVPN: 0 ||
Username: KishKumb | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.159 | Public IP: 103.121.153.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:49 IST Sun Jun 7 2020 | Duration: 3h:07m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 449686255 | Bytes Rx: 146296576 | IP Addr: 10.150.237.159 | Public IP: 103.121.153.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:49 IST Sun Jun 7 2020 | Duration: 3h:07m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 449686255 | Bytes Rx: 146296576 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290984 | Audit Session ID: 0a96cf69470a80005edc6491 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290984 | Audit Session ID: 0a96cf69470a80005edc6491 | Security Group Tag: none | EasyVPN: 0 ||
Username: smahapur | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.161 | Public IP: 42.107.93.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:56 IST Sun Jun 7 2020 | Duration: 3h:07m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 238289505 | Bytes Rx: 133308509 | IP Addr: 10.150.237.161 | Public IP: 42.107.93.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:22:56 IST Sun Jun 7 2020 | Duration: 3h:07m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 238289505 | Bytes Rx: 133308509 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290985 | Audit Session ID: 0a96cf69470a90005edc6498 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290985 | Audit Session ID: 0a96cf69470a90005edc6498 | Security Group Tag: none | EasyVPN: 0 ||
Username: surbhale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: ETAC10 | IP Addr: 10.150.245.245 | Public IP: 106.210.246.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:14 IST Sun Jun 7 2020 | Duration: 3h:07m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 182494595 | Bytes Rx: 75351317 | IP Addr: 10.150.245.245 | Public IP: 106.210.246.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:14 IST Sun Jun 7 2020 | Duration: 3h:07m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 182494595 | Bytes Rx: 75351317 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290987 | Audit Session ID: 0a96cf69470ab0005edc64aa | Security Group Tag: none | EasyVPN: 0 |Session ID: 290987 | Audit Session ID: 0a96cf69470ab0005edc64aa | Security Group Tag: none | EasyVPN: 0 ||
Username: pharibas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.143 | Public IP: 157.50.84.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:46 IST Sun Jun 7 2020 | Duration: 3h:06m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 40943344 | Bytes Rx: 11196461 | IP Addr: 10.150.237.143 | Public IP: 157.50.84.112 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:23:46 IST Sun Jun 7 2020 | Duration: 3h:06m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 40943344 | Bytes Rx: 11196461 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290989 | Audit Session ID: 0a96cf69470ad0005edc64ca | Security Group Tag: none | EasyVPN: 0 |Session ID: 290989 | Audit Session ID: 0a96cf69470ad0005edc64ca | Security Group Tag: none | EasyVPN: 0 ||
Username: shivyada | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.163 | Public IP: 103.121.153.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:15 IST Sun Jun 7 2020 | Duration: 3h:06m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 242936271 | Bytes Rx: 57066690 | IP Addr: 10.150.237.163 | Public IP: 103.121.153.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:15 IST Sun Jun 7 2020 | Duration: 3h:06m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 242936271 | Bytes Rx: 57066690 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290990 | Audit Session ID: 0a96cf69470ae0005edc64e7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290990 | Audit Session ID: 0a96cf69470ae0005edc64e7 | Security Group Tag: none | EasyVPN: 0 ||
Username: AKaware | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.165 | Public IP: 103.97.104.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:53 IST Sun Jun 7 2020 | Duration: 3h:05m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 348746166 | Bytes Rx: 22313536 | IP Addr: 10.150.237.165 | Public IP: 103.97.104.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:24:53 IST Sun Jun 7 2020 | Duration: 3h:05m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 348746166 | Bytes Rx: 22313536 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290992 | Audit Session ID: 0a96cf69470b00005edc650d | Security Group Tag: none | EasyVPN: 0 |Session ID: 290992 | Audit Session ID: 0a96cf69470b00005edc650d | Security Group Tag: none | EasyVPN: 0 ||
Username: abnikam | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.166 | Public IP: 157.33.165.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:25:01 IST Sun Jun 7 2020 | Duration: 3h:05m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 1711396043 | Bytes Rx: 164628480 | IP Addr: 10.150.237.166 | Public IP: 157.33.165.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:25:01 IST Sun Jun 7 2020 | Duration: 3h:05m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 1711396043 | Bytes Rx: 164628480 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290993 | Audit Session ID: 0a96cf69470b10005edc6515 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290993 | Audit Session ID: 0a96cf69470b10005edc6515 | Security Group Tag: none | EasyVPN: 0 ||
