sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: PShriwas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.24 | Public IP: 106.210.141.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:59 IST Sat Jun 20 2020 | Duration: 11h:10m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1128989591 | Bytes Rx: 257593556 | IP Addr: 10.150.237.24 | Public IP: 106.210.141.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:59 IST Sat Jun 20 2020 | Duration: 11h:10m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 1128989591 | Bytes Rx: 257593556 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44425 | Audit Session ID: 0a96cf690ad890005eee1443 | Security Group Tag: none | EasyVPN: 0 |Session ID: 44425 | Audit Session ID: 0a96cf690ad890005eee1443 | Security Group Tag: none | EasyVPN: 0 ||
Username: RRajpali | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.129 | Public IP: 157.33.173.227 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:58:45 IST Sat Jun 20 2020 | Duration: 10h:33m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 241270882 | Bytes Rx: 88665943 | IP Addr: 10.150.237.129 | Public IP: 157.33.173.227 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:58:45 IST Sat Jun 20 2020 | Duration: 10h:33m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 241270882 | Bytes Rx: 88665943 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44487 | Audit Session ID: 0a96cf690adc70005eee1d1d | Security Group Tag: none | EasyVPN: 0 |Session ID: 44487 | Audit Session ID: 0a96cf690adc70005eee1d1d | Security Group Tag: none | EasyVPN: 0 ||
Username: PratBans | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.128 | Public IP: 49.35.10.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:13:26 IST Sat Jun 20 2020 | Duration: 10h:18m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 336208755 | Bytes Rx: 111644823 | IP Addr: 10.150.237.128 | Public IP: 49.35.10.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:13:26 IST Sat Jun 20 2020 | Duration: 10h:18m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 336208755 | Bytes Rx: 111644823 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44505 | Audit Session ID: 0a96cf690add90005eee208e | Security Group Tag: none | EasyVPN: 0 |Session ID: 44505 | Audit Session ID: 0a96cf690add90005eee208e | Security Group Tag: none | EasyVPN: 0 ||
Username: pankajgu | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.156 | Public IP: 122.161.221.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:33:55 IST Sat Jun 20 2020 | Duration: 9h:57m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 118244502 | Bytes Rx: 61542216 | IP Addr: 10.150.237.156 | Public IP: 122.161.221.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:33:55 IST Sat Jun 20 2020 | Duration: 9h:57m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 118244502 | Bytes Rx: 61542216 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44544 | Audit Session ID: 0a96cf690ae000005eee255b | Security Group Tag: none | EasyVPN: 0 |Session ID: 44544 | Audit Session ID: 0a96cf690ae000005eee255b | Security Group Tag: none | EasyVPN: 0 ||
Username: RuchTale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.237 | Public IP: 42.106.199.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:39:21 IST Sat Jun 20 2020 | Duration: 9h:52m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 321050198 | Bytes Rx: 110220258 | IP Addr: 10.150.237.237 | Public IP: 42.106.199.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:39:21 IST Sat Jun 20 2020 | Duration: 9h:52m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 321050198 | Bytes Rx: 110220258 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44549 | Audit Session ID: 0a96cf690ae050005eee26a1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 44549 | Audit Session ID: 0a96cf690ae050005eee26a1 | Security Group Tag: none | EasyVPN: 0 ||
Username: prashkad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.163 | Public IP: 27.97.86.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:40:26 IST Sat Jun 20 2020 | Duration: 9h:51m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 829640158 | Bytes Rx: 114789054 | IP Addr: 10.150.237.163 | Public IP: 27.97.86.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:40:26 IST Sat Jun 20 2020 | Duration: 9h:51m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 829640158 | Bytes Rx: 114789054 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44552 | Audit Session ID: 0a96cf690ae080005eee26e2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 44552 | Audit Session ID: 0a96cf690ae080005eee26e2 | Security Group Tag: none | EasyVPN: 0 ||
Username: sukawagh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.229 | Public IP: 49.35.20.193 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:42:39 IST Sat Jun 20 2020 | Duration: 9h:49m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 466352104 | Bytes Rx: 122031963 | IP Addr: 10.150.237.229 | Public IP: 49.35.20.193 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:42:39 IST Sat Jun 20 2020 | Duration: 9h:49m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 466352104 | Bytes Rx: 122031963 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44556 | Audit Session ID: 0a96cf690ae0c0005eee2767 | Security Group Tag: none | EasyVPN: 0 |Session ID: 44556 | Audit Session ID: 0a96cf690ae0c0005eee2767 | Security Group Tag: none | EasyVPN: 0 ||
Username: yoparjan | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.116 | Public IP: 106.78.160.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:46:24 IST Sat Jun 20 2020 | Duration: 9h:45m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 334886017 | Bytes Rx: 51968764 | IP Addr: 10.150.237.116 | Public IP: 106.78.160.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:46:24 IST Sat Jun 20 2020 | Duration: 9h:45m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 334886017 | Bytes Rx: 51968764 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44566 | Audit Session ID: 0a96cf690ae160005eee2848 | Security Group Tag: none | EasyVPN: 0 |Session ID: 44566 | Audit Session ID: 0a96cf690ae160005eee2848 | Security Group Tag: none | EasyVPN: 0 ||
Username: SNailkar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.164 | Public IP: 106.193.129.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:51:27 IST Sat Jun 20 2020 | Duration: 9h:40m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 1299277946 | Bytes Rx: 260050665 | IP Addr: 10.150.237.164 | Public IP: 106.193.129.36 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:51:27 IST Sat Jun 20 2020 | Duration: 9h:40m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 1299277946 | Bytes Rx: 260050665 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44573 | Audit Session ID: 0a96cf690ae1d0005eee2977 | Security Group Tag: none | EasyVPN: 0 |Session ID: 44573 | Audit Session ID: 0a96cf690ae1d0005eee2977 | Security Group Tag: none | EasyVPN: 0 ||
Username: VGargote | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.166 | Public IP: 106.193.210.205 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:51:39 IST Sat Jun 20 2020 | Duration: 9h:40m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 567241109 | Bytes Rx: 353605545 | IP Addr: 10.150.237.166 | Public IP: 106.193.210.205 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:51:39 IST Sat Jun 20 2020 | Duration: 9h:40m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 567241109 | Bytes Rx: 353605545 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 44574 | Audit Session ID: 0a96cf690ae1e0005eee2983 | Security Group Tag: none | EasyVPN: 0 |Session ID: 44574 | Audit Session ID: 0a96cf690ae1e0005eee2983 | Security Group Tag: none | EasyVPN: 0 ||
