sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rajasekaran.m | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.73 | Public IP: 171.76.59.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:02 IST Mon Jun 8 2020 | Duration: 3h:44m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 97942966 | Bytes Rx: 30381662 | IP Addr: 10.149.232.73 | Public IP: 171.76.59.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:02 IST Mon Jun 8 2020 | Duration: 3h:44m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 97942966 | Bytes Rx: 30381662 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138538 | Audit Session ID: 0a95072a21d2a0005edd9f9e | Security Group Tag: none | EasyVPN: 0 |Session ID: 138538 | Audit Session ID: 0a95072a21d2a0005edd9f9e | Security Group Tag: none | EasyVPN: 0 ||
Username: absingh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.56 | Public IP: 103.86.181.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:52:23 IST Mon Jun 8 2020 | Duration: 3h:38m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 156950258 | Bytes Rx: 104631368 | IP Addr: 10.149.232.56 | Public IP: 103.86.181.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:52:23 IST Mon Jun 8 2020 | Duration: 3h:38m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 156950258 | Bytes Rx: 104631368 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138540 | Audit Session ID: 0a95072a21d2c0005edda0df | Security Group Tag: none | EasyVPN: 0 |Session ID: 138540 | Audit Session ID: 0a95072a21d2c0005edda0df | Security Group Tag: none | EasyVPN: 0 ||
Username: VKedaris | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.60 | Public IP: 223.238.42.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:40 IST Mon Jun 8 2020 | Duration: 3h:37m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 55277210 | Bytes Rx: 18215272 | IP Addr: 10.149.232.60 | Public IP: 223.238.42.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:40 IST Mon Jun 8 2020 | Duration: 3h:37m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 55277210 | Bytes Rx: 18215272 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138544 | Audit Session ID: 0a95072a21d300005edda12c | Security Group Tag: none | EasyVPN: 0 |Session ID: 138544 | Audit Session ID: 0a95072a21d300005edda12c | Security Group Tag: none | EasyVPN: 0 ||
Username: gdhanapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.210 | Public IP: 58.182.61.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:57:11 IST Mon Jun 8 2020 | Duration: 3h:33m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 183989287 | Bytes Rx: 69881378 | IP Addr: 10.149.232.210 | Public IP: 58.182.61.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:57:11 IST Mon Jun 8 2020 | Duration: 3h:33m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 183989287 | Bytes Rx: 69881378 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138545 | Audit Session ID: 0a95072a21d310005edda1ff | Security Group Tag: none | EasyVPN: 0 |Session ID: 138545 | Audit Session ID: 0a95072a21d310005edda1ff | Security Group Tag: none | EasyVPN: 0 ||
Username: snallapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.47 | Public IP: 157.44.149.93 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:48 IST Mon Jun 8 2020 | Duration: 3h:28m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 147689871 | Bytes Rx: 82484343 | IP Addr: 10.149.232.47 | Public IP: 157.44.149.93 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:48 IST Mon Jun 8 2020 | Duration: 3h:28m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 147689871 | Bytes Rx: 82484343 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138548 | Audit Session ID: 0a95072a21d340005edda350 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138548 | Audit Session ID: 0a95072a21d340005edda350 | Security Group Tag: none | EasyVPN: 0 ||
Username: PratapY | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.49 | Public IP: 49.35.17.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:54 IST Mon Jun 8 2020 | Duration: 3h:28m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 725335577 | Bytes Rx: 126040964 | IP Addr: 10.149.232.49 | Public IP: 49.35.17.127 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:54 IST Mon Jun 8 2020 | Duration: 3h:28m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 725335577 | Bytes Rx: 126040964 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138550 | Audit Session ID: 0a95072a21d360005edda356 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138550 | Audit Session ID: 0a95072a21d360005edda356 | Security Group Tag: none | EasyVPN: 0 ||
Username: venkatre | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.50 | Public IP: 27.59.197.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:09 IST Mon Jun 8 2020 | Duration: 3h:28m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 130479001 | Bytes Rx: 355413197 | IP Addr: 10.149.232.50 | Public IP: 27.59.197.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:09 IST Mon Jun 8 2020 | Duration: 3h:28m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 130479001 | Bytes Rx: 355413197 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138552 | Audit Session ID: 0a95072a21d380005edda365 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138552 | Audit Session ID: 0a95072a21d380005edda365 | Security Group Tag: none | EasyVPN: 0 ||
Username: amitjha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.212 | Public IP: 106.193.88.91 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:06:12 IST Mon Jun 8 2020 | Duration: 3h:24m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 96914254 | Bytes Rx: 26605951 | IP Addr: 10.149.233.212 | Public IP: 106.193.88.91 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:06:12 IST Mon Jun 8 2020 | Duration: 3h:24m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 96914254 | Bytes Rx: 26605951 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138556 | Audit Session ID: 0a95072a21d3c0005edda41c | Security Group Tag: none | EasyVPN: 0 |Session ID: 138556 | Audit Session ID: 0a95072a21d3c0005edda41c | Security Group Tag: none | EasyVPN: 0 ||
Username: s.manimaran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.215 | Public IP: 42.111.130.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:08:09 IST Mon Jun 8 2020 | Duration: 3h:23m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 613665602 | Bytes Rx: 397456510 | IP Addr: 10.149.233.215 | Public IP: 42.111.130.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:08:09 IST Mon Jun 8 2020 | Duration: 3h:23m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 613665602 | Bytes Rx: 397456510 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138559 | Audit Session ID: 0a95072a21d3f0005edda491 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138559 | Audit Session ID: 0a95072a21d3f0005edda491 | Security Group Tag: none | EasyVPN: 0 ||
Username: RoyG | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.224 | Public IP: 183.87.50.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:09:38 IST Mon Jun 8 2020 | Duration: 3h:21m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 367463480 | Bytes Rx: 85129536 | IP Addr: 10.149.233.224 | Public IP: 183.87.50.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:09:38 IST Mon Jun 8 2020 | Duration: 3h:21m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 367463480 | Bytes Rx: 85129536 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138563 | Audit Session ID: 0a95072a21d430005edda4ea | Security Group Tag: none | EasyVPN: 0 |Session ID: 138563 | Audit Session ID: 0a95072a21d430005edda4ea | Security Group Tag: none | EasyVPN: 0 ||
