sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: BhagGaik | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.140 | Public IP: 106.220.174.183 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:26 IST Sun Jun 14 2020 | Duration: 3h:05m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 114817118 | Bytes Rx: 32108835 | IP Addr: 10.149.233.140 | Public IP: 106.220.174.183 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:26 IST Sun Jun 14 2020 | Duration: 3h:05m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 114817118 | Bytes Rx: 32108835 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150886 | Audit Session ID: 0a95072a24d660005ee57d3a | Security Group Tag: none | EasyVPN: 0 |Session ID: 150886 | Audit Session ID: 0a95072a24d660005ee57d3a | Security Group Tag: none | EasyVPN: 0 ||
Username: poojjaga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.141 | Public IP: 157.45.138.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:36 IST Sun Jun 14 2020 | Duration: 3h:05m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 242624282 | Bytes Rx: 53125212 | IP Addr: 10.149.233.141 | Public IP: 157.45.138.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:36 IST Sun Jun 14 2020 | Duration: 3h:05m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 242624282 | Bytes Rx: 53125212 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150887 | Audit Session ID: 0a95072a24d670005ee57d44 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150887 | Audit Session ID: 0a95072a24d670005ee57d44 | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.142 | Public IP: 124.123.163.42 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:23 IST Sun Jun 14 2020 | Duration: 3h:03m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 79847200 | Bytes Rx: 37188875 | IP Addr: 10.149.233.142 | Public IP: 124.123.163.42 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:23 IST Sun Jun 14 2020 | Duration: 3h:03m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 79847200 | Bytes Rx: 37188875 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150888 | Audit Session ID: 0a95072a24d680005ee57deb | Security Group Tag: none | EasyVPN: 0 |Session ID: 150888 | Audit Session ID: 0a95072a24d680005ee57deb | Security Group Tag: none | EasyVPN: 0 ||
Username: swadmare | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.145 | Public IP: 59.88.9.75 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:15 IST Sun Jun 14 2020 | Duration: 2h:59m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 49579351 | Bytes Rx: 14171414 | IP Addr: 10.149.233.145 | Public IP: 59.88.9.75 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:15 IST Sun Jun 14 2020 | Duration: 2h:59m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 49579351 | Bytes Rx: 14171414 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150891 | Audit Session ID: 0a95072a24d6b0005ee57ed3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150891 | Audit Session ID: 0a95072a24d6b0005ee57ed3 | Security Group Tag: none | EasyVPN: 0 ||
Username: pratinga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.134 | Public IP: 124.66.170.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:12:40 IST Sun Jun 14 2020 | Duration: 2h:51m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 932802142 | Bytes Rx: 56336207 | IP Addr: 10.149.233.134 | Public IP: 124.66.170.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:12:40 IST Sun Jun 14 2020 | Duration: 2h:51m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 932802142 | Bytes Rx: 56336207 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150892 | Audit Session ID: 0a95072a24d6c0005ee58090 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150892 | Audit Session ID: 0a95072a24d6c0005ee58090 | Security Group Tag: none | EasyVPN: 0 ||
Username: JAravint | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.146 | Public IP: 36.255.87.199 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:15:10 IST Sun Jun 14 2020 | Duration: 2h:49m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 116789595 | Bytes Rx: 23873382 | IP Addr: 10.149.233.146 | Public IP: 36.255.87.199 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:15:10 IST Sun Jun 14 2020 | Duration: 2h:49m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 116789595 | Bytes Rx: 23873382 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150893 | Audit Session ID: 0a95072a24d6d0005ee58126 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150893 | Audit Session ID: 0a95072a24d6d0005ee58126 | Security Group Tag: none | EasyVPN: 0 ||
Username: ramaredd | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.148 | Public IP: 103.248.211.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:38 IST Sun Jun 14 2020 | Duration: 2h:47m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 20458237 | Bytes Rx: 8799078 | IP Addr: 10.149.233.148 | Public IP: 103.248.211.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:38 IST Sun Jun 14 2020 | Duration: 2h:47m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 20458237 | Bytes Rx: 8799078 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150894 | Audit Session ID: 0a95072a24d6e0005ee5817e | Security Group Tag: none | EasyVPN: 0 |Session ID: 150894 | Audit Session ID: 0a95072a24d6e0005ee5817e | Security Group Tag: none | EasyVPN: 0 ||
Username: kumarpan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.163 | Public IP: 106.207.39.64 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:42:45 IST Sun Jun 14 2020 | Duration: 2h:21m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 91395433 | Bytes Rx: 12564960 | IP Addr: 10.149.233.163 | Public IP: 106.207.39.64 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:42:45 IST Sun Jun 14 2020 | Duration: 2h:21m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 91395433 | Bytes Rx: 12564960 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150899 | Audit Session ID: 0a95072a24d730005ee5879d | Security Group Tag: none | EasyVPN: 0 |Session ID: 150899 | Audit Session ID: 0a95072a24d730005ee5879d | Security Group Tag: none | EasyVPN: 0 ||
Username: Devsivan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.168 | Public IP: 157.50.47.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:18:37 IST Sun Jun 14 2020 | Duration: 1h:45m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 132004686 | Bytes Rx: 114073036 | IP Addr: 10.149.233.168 | Public IP: 157.50.47.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:18:37 IST Sun Jun 14 2020 | Duration: 1h:45m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 132004686 | Bytes Rx: 114073036 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150911 | Audit Session ID: 0a95072a24d7f0005ee59005 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150911 | Audit Session ID: 0a95072a24d7f0005ee59005 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajac | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.169 | Public IP: 42.111.151.87 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:19:04 IST Sun Jun 14 2020 | Duration: 1h:45m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 485871972 | Bytes Rx: 38781144 | IP Addr: 10.149.233.169 | Public IP: 42.111.151.87 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:19:04 IST Sun Jun 14 2020 | Duration: 1h:45m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 485871972 | Bytes Rx: 38781144 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150912 | Audit Session ID: 0a95072a24d800005ee59020 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150912 | Audit Session ID: 0a95072a24d800005ee59020 | Security Group Tag: none | EasyVPN: 0 ||
