sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: jitesh.patil | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.126 | Public IP: 2.123.41.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:15 UTC Thu Jun 25 2020 | Duration: 1h:30m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 186287248 | Bytes Rx: 34220258 | IP Addr: 10.145.232.126 | Public IP: 2.123.41.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:15 UTC Thu Jun 25 2020 | Duration: 1h:30m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 186287248 | Bytes Rx: 34220258 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 22 | Audit Session ID: 0a910728000160005ef43d6f | Security Group Tag: none | EasyVPN: 0 |Session ID: 22 | Audit Session ID: 0a910728000160005ef43d6f | Security Group Tag: none | EasyVPN: 0 ||
Username: ngorboto | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.89 | Public IP: 62.105.140.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:02:24 UTC Thu Jun 25 2020 | Duration: 1h:28m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 118034847 | Bytes Rx: 40657663 | IP Addr: 10.145.232.89 | Public IP: 62.105.140.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:02:24 UTC Thu Jun 25 2020 | Duration: 1h:28m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 118034847 | Bytes Rx: 40657663 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 23 | Audit Session ID: 0a910728000170005ef43df0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 23 | Audit Session ID: 0a910728000170005ef43df0 | Security Group Tag: none | EasyVPN: 0 ||
Username: mgaus | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.110 | Public IP: 49.35.20.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:55 UTC Thu Jun 25 2020 | Duration: 1h:21m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 31259353 | Bytes Rx: 15457856 | IP Addr: 10.145.232.110 | Public IP: 49.35.20.134 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:55 UTC Thu Jun 25 2020 | Duration: 1h:21m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 31259353 | Bytes Rx: 15457856 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26 | Audit Session ID: 0a9107280001a0005ef43f77 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26 | Audit Session ID: 0a9107280001a0005ef43f77 | Security Group Tag: none | EasyVPN: 0 ||
Username: wschutt | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.128 | Public IP: 80.134.246.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:11:33 UTC Thu Jun 25 2020 | Duration: 1h:18m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 85536273 | Bytes Rx: 24063266 | IP Addr: 10.145.232.128 | Public IP: 80.134.246.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:11:33 UTC Thu Jun 25 2020 | Duration: 1h:18m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 85536273 | Bytes Rx: 24063266 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 31 | Audit Session ID: 0a9107280001f0005ef44015 | Security Group Tag: none | EasyVPN: 0 |Session ID: 31 | Audit Session ID: 0a9107280001f0005ef44015 | Security Group Tag: none | EasyVPN: 0 ||
Username: rpawar | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.92 | Public IP: 171.60.132.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:12:13 UTC Thu Jun 25 2020 | Duration: 1h:18m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 296930121 | Bytes Rx: 76547990 | IP Addr: 10.145.232.92 | Public IP: 171.60.132.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:12:13 UTC Thu Jun 25 2020 | Duration: 1h:18m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 296930121 | Bytes Rx: 76547990 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33 | Audit Session ID: 0a910728000210005ef4403d | Security Group Tag: none | EasyVPN: 0 |Session ID: 33 | Audit Session ID: 0a910728000210005ef4403d | Security Group Tag: none | EasyVPN: 0 ||
Username: narmstro | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.96 | Public IP: 82.46.1.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:36 UTC Thu Jun 25 2020 | Duration: 1h:14m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 7393086 | Bytes Rx: 2844152 | IP Addr: 10.145.232.96 | Public IP: 82.46.1.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:36 UTC Thu Jun 25 2020 | Duration: 1h:14m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 7393086 | Bytes Rx: 2844152 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 34 | Audit Session ID: 0a910728000220005ef44108 | Security Group Tag: none | EasyVPN: 0 |Session ID: 34 | Audit Session ID: 0a910728000220005ef44108 | Security Group Tag: none | EasyVPN: 0 ||
Username: stmacmah | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.105 | Public IP: 86.85.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:16:32 UTC Thu Jun 25 2020 | Duration: 1h:13m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 92890070 | Bytes Rx: 39373861 | IP Addr: 10.145.232.105 | Public IP: 86.85.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:16:32 UTC Thu Jun 25 2020 | Duration: 1h:13m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 92890070 | Bytes Rx: 39373861 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37 | Audit Session ID: 0a910728000250005ef44140 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37 | Audit Session ID: 0a910728000250005ef44140 | Security Group Tag: none | EasyVPN: 0 ||
Username: Abdushai | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.130 | Public IP: 49.33.151.76 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:17:30 UTC Thu Jun 25 2020 | Duration: 1h:12m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 92222550 | Bytes Rx: 31770180 | IP Addr: 10.145.232.130 | Public IP: 49.33.151.76 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:17:30 UTC Thu Jun 25 2020 | Duration: 1h:12m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 92222550 | Bytes Rx: 31770180 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 38 | Audit Session ID: 0a910728000260005ef4417a | Security Group Tag: none | EasyVPN: 0 |Session ID: 38 | Audit Session ID: 0a910728000260005ef4417a | Security Group Tag: none | EasyVPN: 0 ||
Username: elitedes | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.123 | Public IP: 151.38.96.119 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:20:49 UTC Thu Jun 25 2020 | Duration: 1h:09m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 45573067 | Bytes Rx: 13545496 | IP Addr: 10.145.232.123 | Public IP: 151.38.96.119 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:20:49 UTC Thu Jun 25 2020 | Duration: 1h:09m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 45573067 | Bytes Rx: 13545496 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 39 | Audit Session ID: 0a910728000270005ef44241 | Security Group Tag: none | EasyVPN: 0 |Session ID: 39 | Audit Session ID: 0a910728000270005ef44241 | Security Group Tag: none | EasyVPN: 0 ||
Username: susahijw | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.107 | Public IP: 42.111.26.236 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:28:42 UTC Thu Jun 25 2020 | Duration: 1h:01m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 118556403 | Bytes Rx: 25121584 | IP Addr: 10.145.232.107 | Public IP: 42.111.26.236 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:28:42 UTC Thu Jun 25 2020 | Duration: 1h:01m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 118556403 | Bytes Rx: 25121584 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 40 | Audit Session ID: 0a910728000280005ef4441a | Security Group Tag: none | EasyVPN: 0 |Session ID: 40 | Audit Session ID: 0a910728000280005ef4441a | Security Group Tag: none | EasyVPN: 0 ||
