sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: SPathare | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.115 | Public IP: 103.252.53.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:04 IST Tue Jun 9 2020 | Duration: 7h:43m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 432234489 | Bytes Rx: 112732156 | IP Addr: 10.150.236.115 | Public IP: 103.252.53.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:04 IST Tue Jun 9 2020 | Duration: 7h:43m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 432234489 | Bytes Rx: 112732156 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4259 | Audit Session ID: 0a96cf69010a30005edee310 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4259 | Audit Session ID: 0a96cf69010a30005edee310 | Security Group Tag: none | EasyVPN: 0 ||
Username: NitTawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.122 | Public IP: 106.193.98.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:26 IST Tue Jun 9 2020 | Duration: 7h:42m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 212145528 | Bytes Rx: 96780691 | IP Addr: 10.150.236.122 | Public IP: 106.193.98.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:26 IST Tue Jun 9 2020 | Duration: 7h:42m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 212145528 | Bytes Rx: 96780691 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4261 | Audit Session ID: 0a96cf69010a50005edee326 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4261 | Audit Session ID: 0a96cf69010a50005edee326 | Security Group Tag: none | EasyVPN: 0 ||
Username: shpetkar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.7 | Public IP: 157.47.63.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:00 IST Tue Jun 9 2020 | Duration: 7h:39m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 206909228 | Bytes Rx: 56481952 | IP Addr: 10.150.237.7 | Public IP: 157.47.63.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:00 IST Tue Jun 9 2020 | Duration: 7h:39m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 206909228 | Bytes Rx: 56481952 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4273 | Audit Session ID: 0a96cf69010b10005edee3fc | Security Group Tag: none | EasyVPN: 0 |Session ID: 4273 | Audit Session ID: 0a96cf69010b10005edee3fc | Security Group Tag: none | EasyVPN: 0 ||
Username: Jasahare | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.10 | Public IP: 42.106.108.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:06 IST Tue Jun 9 2020 | Duration: 7h:39m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 178656133 | Bytes Rx: 79199858 | IP Addr: 10.150.237.10 | Public IP: 42.106.108.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:06 IST Tue Jun 9 2020 | Duration: 7h:39m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 178656133 | Bytes Rx: 79199858 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4274 | Audit Session ID: 0a96cf69010b20005edee402 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4274 | Audit Session ID: 0a96cf69010b20005edee402 | Security Group Tag: none | EasyVPN: 0 ||
Username: AbhiMohi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC31 | IP Addr: 10.150.245.40 | Public IP: 110.227.199.10 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:32 IST Tue Jun 9 2020 | Duration: 7h:38m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 769960344 | Bytes Rx: 199292117 | IP Addr: 10.150.245.40 | Public IP: 110.227.199.10 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:32 IST Tue Jun 9 2020 | Duration: 7h:38m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 769960344 | Bytes Rx: 199292117 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4277 | Audit Session ID: 0a96cf69010b50005edee41c | Security Group Tag: none | EasyVPN: 0 |Session ID: 4277 | Audit Session ID: 0a96cf69010b50005edee41c | Security Group Tag: none | EasyVPN: 0 ||
Username: mvaidkar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC26 | IP Addr: 10.150.245.35 | Public IP: 103.203.63.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:35 IST Tue Jun 9 2020 | Duration: 7h:38m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 550657237 | Bytes Rx: 495320391 | IP Addr: 10.150.245.35 | Public IP: 103.203.63.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:35 IST Tue Jun 9 2020 | Duration: 7h:38m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 550657237 | Bytes Rx: 495320391 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4278 | Audit Session ID: 0a96cf69010b60005edee41f | Security Group Tag: none | EasyVPN: 0 |Session ID: 4278 | Audit Session ID: 0a96cf69010b60005edee41f | Security Group Tag: none | EasyVPN: 0 ||
Username: prborkar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.13 | Public IP: 103.110.254.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:48 IST Tue Jun 9 2020 | Duration: 7h:37m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 527269053 | Bytes Rx: 302472079 | IP Addr: 10.150.237.13 | Public IP: 103.110.254.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:48 IST Tue Jun 9 2020 | Duration: 7h:37m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 527269053 | Bytes Rx: 302472079 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4280 | Audit Session ID: 0a96cf69010b80005edee468 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4280 | Audit Session ID: 0a96cf69010b80005edee468 | Security Group Tag: none | EasyVPN: 0 ||
Username: varsnara | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.16 | Public IP: 115.97.225.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:19 IST Tue Jun 9 2020 | Duration: 7h:35m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 2626781686 | Bytes Rx: 265890132 | IP Addr: 10.150.237.16 | Public IP: 115.97.225.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:19 IST Tue Jun 9 2020 | Duration: 7h:35m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 2626781686 | Bytes Rx: 265890132 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4286 | Audit Session ID: 0a96cf69010be0005edee4ff | Security Group Tag: none | EasyVPN: 0 |Session ID: 4286 | Audit Session ID: 0a96cf69010be0005edee4ff | Security Group Tag: none | EasyVPN: 0 ||
Username: kritibal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.18 | Public IP: 106.220.125.48 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:26 IST Tue Jun 9 2020 | Duration: 7h:34m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 595604508 | Bytes Rx: 375673986 | IP Addr: 10.150.237.18 | Public IP: 106.220.125.48 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:26 IST Tue Jun 9 2020 | Duration: 7h:34m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 595604508 | Bytes Rx: 375673986 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4287 | Audit Session ID: 0a96cf69010bf0005edee506 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4287 | Audit Session ID: 0a96cf69010bf0005edee506 | Security Group Tag: none | EasyVPN: 0 ||
Username: msonawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.112 | Public IP: 103.201.137.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:56 IST Tue Jun 9 2020 | Duration: 7h:34m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 382612828 | Bytes Rx: 224744016 | IP Addr: 10.150.236.112 | Public IP: 103.201.137.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:56 IST Tue Jun 9 2020 | Duration: 7h:34m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 382612828 | Bytes Rx: 224744016 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 4288 | Audit Session ID: 0a96cf69010c00005edee524 | Security Group Tag: none | EasyVPN: 0 |Session ID: 4288 | Audit Session ID: 0a96cf69010c00005edee524 | Security Group Tag: none | EasyVPN: 0 ||
