sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ransharm | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.189 | Public IP: 106.193.200.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:52:35 IST Mon Jul 20 2020 | Duration: 4h:07m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 4692333685 | Bytes Rx: 234366765 | IP Addr: 10.149.235.189 | Public IP: 106.193.200.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:52:35 IST Mon Jul 20 2020 | Duration: 4h:07m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 4692333685 | Bytes Rx: 234366765 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17217 | Audit Session ID: 0a95072b043410005f14e3cb | Security Group Tag: none | EasyVPN: 0 |Session ID: 17217 | Audit Session ID: 0a95072b043410005f14e3cb | Security Group Tag: none | EasyVPN: 0 ||
Username: rohising | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.198 | Public IP: 103.25.170.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:28 IST Mon Jul 20 2020 | Duration: 3h:44m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 345782263 | Bytes Rx: 66950463 | IP Addr: 10.149.235.198 | Public IP: 103.25.170.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:28 IST Mon Jul 20 2020 | Duration: 3h:44m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 345782263 | Bytes Rx: 66950463 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17222 | Audit Session ID: 0a95072b043460005f14e928 | Security Group Tag: none | EasyVPN: 0 |Session ID: 17222 | Audit Session ID: 0a95072b043460005f14e928 | Security Group Tag: none | EasyVPN: 0 ||
Username: DhDorkhe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.230 | Public IP: 59.90.42.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:48 IST Mon Jul 20 2020 | Duration: 3h:18m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 282299551 | Bytes Rx: 85600471 | IP Addr: 10.149.234.230 | Public IP: 59.90.42.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:48 IST Mon Jul 20 2020 | Duration: 3h:18m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 282299551 | Bytes Rx: 85600471 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17226 | Audit Session ID: 0a95072b0434a0005f14ef54 | Security Group Tag: none | EasyVPN: 0 |Session ID: 17226 | Audit Session ID: 0a95072b0434a0005f14ef54 | Security Group Tag: none | EasyVPN: 0 ||
Username: pritjosh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.233 | Public IP: 223.238.200.30 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:43:15 IST Mon Jul 20 2020 | Duration: 3h:16m:52s | Inactivity:  0h:08m:45s | Bytes Tx: 93653536 | Bytes Rx: 38180919 | IP Addr: 10.149.234.233 | Public IP: 223.238.200.30 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:43:15 IST Mon Jul 20 2020 | Duration: 3h:16m:52s | Inactivity:  0h:08m:45s | Bytes Tx: 93653536 | Bytes Rx: 38180919 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17229 | Audit Session ID: 0a95072b0434d0005f14efab | Security Group Tag: none | EasyVPN: 0 |Session ID: 17229 | Audit Session ID: 0a95072b0434d0005f14efab | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.236 | Public IP: 115.97.43.211 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:46:31 IST Mon Jul 20 2020 | Duration: 3h:13m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 290045860 | Bytes Rx: 59863443 | IP Addr: 10.149.234.236 | Public IP: 115.97.43.211 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:46:31 IST Mon Jul 20 2020 | Duration: 3h:13m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 290045860 | Bytes Rx: 59863443 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17232 | Audit Session ID: 0a95072b043500005f14f06f | Security Group Tag: none | EasyVPN: 0 |Session ID: 17232 | Audit Session ID: 0a95072b043500005f14f06f | Security Group Tag: none | EasyVPN: 0 ||
Username: bpandiya | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.239 | Public IP: 106.208.59.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:09 IST Mon Jul 20 2020 | Duration: 3h:12m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 55082401 | Bytes Rx: 29446567 | IP Addr: 10.149.234.239 | Public IP: 106.208.59.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:09 IST Mon Jul 20 2020 | Duration: 3h:12m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 55082401 | Bytes Rx: 29446567 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17233 | Audit Session ID: 0a95072b043510005f14f095 | Security Group Tag: none | EasyVPN: 0 |Session ID: 17233 | Audit Session ID: 0a95072b043510005f14f095 | Security Group Tag: none | EasyVPN: 0 ||
Username: robins.kurian | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.241 | Public IP: 137.97.170.149 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:48 IST Mon Jul 20 2020 | Duration: 3h:09m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 92507470 | Bytes Rx: 26577318 | IP Addr: 10.149.234.241 | Public IP: 137.97.170.149 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:48 IST Mon Jul 20 2020 | Duration: 3h:09m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 92507470 | Bytes Rx: 26577318 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17235 | Audit Session ID: 0a95072b043530005f14f170 | Security Group Tag: none | EasyVPN: 0 |Session ID: 17235 | Audit Session ID: 0a95072b043530005f14f170 | Security Group Tag: none | EasyVPN: 0 ||
Username: NPERUMAL | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.243 | Public IP: 157.46.33.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:26 IST Mon Jul 20 2020 | Duration: 3h:07m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 140425862 | Bytes Rx: 35917193 | IP Addr: 10.149.234.243 | Public IP: 157.46.33.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:26 IST Mon Jul 20 2020 | Duration: 3h:07m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 140425862 | Bytes Rx: 35917193 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17237 | Audit Session ID: 0a95072b043550005f14f1d2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 17237 | Audit Session ID: 0a95072b043550005f14f1d2 | Security Group Tag: none | EasyVPN: 0 ||
Username: askamara | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.245 | Public IP: 223.182.241.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:52 IST Mon Jul 20 2020 | Duration: 3h:07m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 752564798 | Bytes Rx: 149795403 | IP Addr: 10.149.234.245 | Public IP: 223.182.241.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:52 IST Mon Jul 20 2020 | Duration: 3h:07m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 752564798 | Bytes Rx: 149795403 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17238 | Audit Session ID: 0a95072b043560005f14f1ec | Security Group Tag: none | EasyVPN: 0 |Session ID: 17238 | Audit Session ID: 0a95072b043560005f14f1ec | Security Group Tag: none | EasyVPN: 0 ||
Username: nmilawan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.246 | Public IP: 106.220.144.194 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:08 IST Mon Jul 20 2020 | Duration: 3h:06m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 114277232 | Bytes Rx: 34986681 | IP Addr: 10.149.234.246 | Public IP: 106.220.144.194 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:08 IST Mon Jul 20 2020 | Duration: 3h:06m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 114277232 | Bytes Rx: 34986681 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 17239 | Audit Session ID: 0a95072b043570005f14f1fc | Security Group Tag: none | EasyVPN: 0 |Session ID: 17239 | Audit Session ID: 0a95072b043570005f14f1fc | Security Group Tag: none | EasyVPN: 0 ||
