sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.24 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:35:49 IST Thu Jun 25 2020 | Duration: 10h:46m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 234950322 | Bytes Rx: 350128372 | IP Addr: 10.150.236.24 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:35:49 IST Thu Jun 25 2020 | Duration: 10h:46m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 234950322 | Bytes Rx: 350128372 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62202 | Audit Session ID: 0a96cf690f2fa0005ef4af3d | Security Group Tag: none | EasyVPN: 0 |Session ID: 62202 | Audit Session ID: 0a96cf690f2fa0005ef4af3d | Security Group Tag: none | EasyVPN: 0 ||
Username: aburnwal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.180 | Public IP: 49.35.210.17 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 20:07:13 IST Thu Jun 25 2020 | Duration: 10h:14m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 586969627 | Bytes Rx: 236869246 | IP Addr: 10.150.236.180 | Public IP: 49.35.210.17 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 20:07:13 IST Thu Jun 25 2020 | Duration: 10h:14m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 586969627 | Bytes Rx: 236869246 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62286 | Audit Session ID: 0a96cf690f34e0005ef4b699 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62286 | Audit Session ID: 0a96cf690f34e0005ef4b699 | Security Group Tag: none | EasyVPN: 0 ||
Username: ganeshch | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.65 | Public IP: 106.210.131.223 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:21:01 IST Thu Jun 25 2020 | Duration: 10h:00m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 501583951 | Bytes Rx: 302995142 | IP Addr: 10.150.237.65 | Public IP: 106.210.131.223 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:21:01 IST Thu Jun 25 2020 | Duration: 10h:00m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 501583951 | Bytes Rx: 302995142 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62333 | Audit Session ID: 0a96cf690f37d0005ef4b9d5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62333 | Audit Session ID: 0a96cf690f37d0005ef4b9d5 | Security Group Tag: none | EasyVPN: 0 ||
Username: omprakash.singh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.68 | Public IP: 103.208.71.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:40:21 IST Thu Jun 25 2020 | Duration: 9h:41m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 159820089 | Bytes Rx: 82565574 | IP Addr: 10.150.237.68 | Public IP: 103.208.71.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:40:21 IST Thu Jun 25 2020 | Duration: 9h:41m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 159820089 | Bytes Rx: 82565574 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62363 | Audit Session ID: 0a96cf690f39b0005ef4be5d | Security Group Tag: none | EasyVPN: 0 |Session ID: 62363 | Audit Session ID: 0a96cf690f39b0005ef4be5d | Security Group Tag: none | EasyVPN: 0 ||
Username: taparaj | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.49 | Public IP: 157.33.158.146 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:46:27 IST Thu Jun 25 2020 | Duration: 9h:35m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 1671538113 | Bytes Rx: 509456412 | IP Addr: 10.150.237.49 | Public IP: 157.33.158.146 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:46:27 IST Thu Jun 25 2020 | Duration: 9h:35m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 1671538113 | Bytes Rx: 509456412 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62377 | Audit Session ID: 0a96cf690f3a90005ef4bfcb | Security Group Tag: none | EasyVPN: 0 |Session ID: 62377 | Audit Session ID: 0a96cf690f3a90005ef4bfcb | Security Group Tag: none | EasyVPN: 0 ||
Username: SachJag | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.64 | Public IP: 157.33.146.193 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:46:30 IST Thu Jun 25 2020 | Duration: 9h:35m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 503921932 | Bytes Rx: 147364038 | IP Addr: 10.150.236.64 | Public IP: 157.33.146.193 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:46:30 IST Thu Jun 25 2020 | Duration: 9h:35m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 503921932 | Bytes Rx: 147364038 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62378 | Audit Session ID: 0a96cf690f3aa0005ef4bfce | Security Group Tag: none | EasyVPN: 0 |Session ID: 62378 | Audit Session ID: 0a96cf690f3aa0005ef4bfce | Security Group Tag: none | EasyVPN: 0 ||
Username: anishcha | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.73 | Public IP: 49.35.107.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:46:54 IST Thu Jun 25 2020 | Duration: 9h:35m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 902883263 | Bytes Rx: 231587017 | IP Addr: 10.150.236.73 | Public IP: 49.35.107.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:46:54 IST Thu Jun 25 2020 | Duration: 9h:35m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 902883263 | Bytes Rx: 231587017 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62380 | Audit Session ID: 0a96cf690f3ac0005ef4bfe6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62380 | Audit Session ID: 0a96cf690f3ac0005ef4bfe6 | Security Group Tag: none | EasyVPN: 0 ||
Username: Sparate | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.89 | Public IP: 106.220.147.31 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:47:53 IST Thu Jun 25 2020 | Duration: 9h:34m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 264633956 | Bytes Rx: 67973586 | IP Addr: 10.150.237.89 | Public IP: 106.220.147.31 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:47:53 IST Thu Jun 25 2020 | Duration: 9h:34m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 264633956 | Bytes Rx: 67973586 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62383 | Audit Session ID: 0a96cf690f3af0005ef4c021 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62383 | Audit Session ID: 0a96cf690f3af0005ef4c021 | Security Group Tag: none | EasyVPN: 0 ||
Username: SWGADEKA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.101 | Public IP: 49.35.55.204 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:48:53 IST Thu Jun 25 2020 | Duration: 9h:33m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 368797168 | Bytes Rx: 163899167 | IP Addr: 10.150.237.101 | Public IP: 49.35.55.204 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:48:53 IST Thu Jun 25 2020 | Duration: 9h:33m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 368797168 | Bytes Rx: 163899167 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62390 | Audit Session ID: 0a96cf690f3b60005ef4c05d | Security Group Tag: none | EasyVPN: 0 |Session ID: 62390 | Audit Session ID: 0a96cf690f3b60005ef4c05d | Security Group Tag: none | EasyVPN: 0 ||
Username: PushkSon | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.109 | Public IP: 103.141.116.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:48:58 IST Thu Jun 25 2020 | Duration: 9h:33m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 3060917119 | Bytes Rx: 292775040 | IP Addr: 10.150.237.109 | Public IP: 103.141.116.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:48:58 IST Thu Jun 25 2020 | Duration: 9h:33m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 3060917119 | Bytes Rx: 292775040 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62391 | Audit Session ID: 0a96cf690f3b70005ef4c062 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62391 | Audit Session ID: 0a96cf690f3b70005ef4c062 | Security Group Tag: none | EasyVPN: 0 ||
