sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: PVaratha | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.132 | Public IP: 42.111.167.103 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:50:23 UTC Thu Jun 25 2020 | Duration: 5h:40m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 339042914 | Bytes Rx: 124879223 | IP Addr: 10.145.232.132 | Public IP: 42.111.167.103 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:50:23 UTC Thu Jun 25 2020 | Duration: 5h:40m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 339042914 | Bytes Rx: 124879223 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 52 | Audit Session ID: 0a910728000340005ef4492f | Security Group Tag: none | EasyVPN: 0 |Session ID: 52 | Audit Session ID: 0a910728000340005ef4492f | Security Group Tag: none | EasyVPN: 0 ||
Username: drini | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: Jabber | IP Addr: 10.145.248.120 | Public IP: 188.211.163.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:59 UTC Thu Jun 25 2020 | Duration: 5h:39m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 385534823 | Bytes Rx: 199451515 | IP Addr: 10.145.248.120 | Public IP: 188.211.163.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:59 UTC Thu Jun 25 2020 | Duration: 5h:39m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 385534823 | Bytes Rx: 199451515 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54 | Audit Session ID: 0a910728000360005ef44953 | Security Group Tag: none | EasyVPN: 0 |Session ID: 54 | Audit Session ID: 0a910728000360005ef44953 | Security Group Tag: none | EasyVPN: 0 ||
Username: pvalk | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.129 | Public IP: 77.171.21.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:03 UTC Thu Jun 25 2020 | Duration: 5h:36m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 127369848 | Bytes Rx: 83842935 | IP Addr: 10.145.232.129 | Public IP: 77.171.21.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:03 UTC Thu Jun 25 2020 | Duration: 5h:36m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 127369848 | Bytes Rx: 83842935 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 56 | Audit Session ID: 0a910728000380005ef44a0b | Security Group Tag: none | EasyVPN: 0 |Session ID: 56 | Audit Session ID: 0a910728000380005ef44a0b | Security Group Tag: none | EasyVPN: 0 ||
Username: JJayaman | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.138 | Public IP: 42.109.140.199 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:56:52 UTC Thu Jun 25 2020 | Duration: 5h:33m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 91341449 | Bytes Rx: 43658333 | IP Addr: 10.145.232.138 | Public IP: 42.109.140.199 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:56:52 UTC Thu Jun 25 2020 | Duration: 5h:33m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 91341449 | Bytes Rx: 43658333 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62 | Audit Session ID: 0a9107280003e0005ef44ab4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62 | Audit Session ID: 0a9107280003e0005ef44ab4 | Security Group Tag: none | EasyVPN: 0 ||
Username: pkuttata | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: Jabber | IP Addr: 10.145.248.121 | Public IP: 86.141.115.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:53 UTC Thu Jun 25 2020 | Duration: 5h:33m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 1044943683 | Bytes Rx: 167341405 | IP Addr: 10.145.248.121 | Public IP: 86.141.115.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:53 UTC Thu Jun 25 2020 | Duration: 5h:33m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 1044943683 | Bytes Rx: 167341405 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 63 | Audit Session ID: 0a9107280003f0005ef44ab5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 63 | Audit Session ID: 0a9107280003f0005ef44ab5 | Security Group Tag: none | EasyVPN: 0 ||
Username: Rvaldes | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.139 | Public IP: 176.82.102.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:08 UTC Thu Jun 25 2020 | Duration: 5h:33m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 391460546 | Bytes Rx: 70187098 | IP Addr: 10.145.232.139 | Public IP: 176.82.102.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:08 UTC Thu Jun 25 2020 | Duration: 5h:33m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 391460546 | Bytes Rx: 70187098 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 64 | Audit Session ID: 0a910728000400005ef44ac4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 64 | Audit Session ID: 0a910728000400005ef44ac4 | Security Group Tag: none | EasyVPN: 0 ||
Username: ALindsay | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.140 | Public IP: 89.36.69.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:15 UTC Thu Jun 25 2020 | Duration: 5h:33m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 731183779 | Bytes Rx: 71768371 | IP Addr: 10.145.232.140 | Public IP: 89.36.69.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:15 UTC Thu Jun 25 2020 | Duration: 5h:33m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 731183779 | Bytes Rx: 71768371 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 65 | Audit Session ID: 0a910728000410005ef44acb | Security Group Tag: none | EasyVPN: 0 |Session ID: 65 | Audit Session ID: 0a910728000410005ef44acb | Security Group Tag: none | EasyVPN: 0 ||
Username: esoremi | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.144 | Public IP: 86.9.13.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:51 UTC Thu Jun 25 2020 | Duration: 5h:27m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 404842090 | Bytes Rx: 281663330 | IP Addr: 10.145.232.144 | Public IP: 86.9.13.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:51 UTC Thu Jun 25 2020 | Duration: 5h:27m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 404842090 | Bytes Rx: 281663330 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 71 | Audit Session ID: 0a910728000470005ef44c1b | Security Group Tag: none | EasyVPN: 0 |Session ID: 71 | Audit Session ID: 0a910728000470005ef44c1b | Security Group Tag: none | EasyVPN: 0 ||
Username: dmbua | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: Jabber | IP Addr: 10.145.248.122 | Public IP: 80.195.7.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:29 UTC Thu Jun 25 2020 | Duration: 5h:24m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 636792606 | Bytes Rx: 148638690 | IP Addr: 10.145.248.122 | Public IP: 80.195.7.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:29 UTC Thu Jun 25 2020 | Duration: 5h:24m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 636792606 | Bytes Rx: 148638690 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 77 | Audit Session ID: 0a9107280004d0005ef44cb9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 77 | Audit Session ID: 0a9107280004d0005ef44cb9 | Security Group Tag: none | EasyVPN: 0 ||
Username: prbhoyar | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.147 | Public IP: 106.78.169.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:01 UTC Thu Jun 25 2020 | Duration: 5h:24m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 583639199 | Bytes Rx: 70819484 | IP Addr: 10.145.232.147 | Public IP: 106.78.169.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:01 UTC Thu Jun 25 2020 | Duration: 5h:24m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 583639199 | Bytes Rx: 70819484 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 78 | Audit Session ID: 0a9107280004e0005ef44cd9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 78 | Audit Session ID: 0a9107280004e0005ef44cd9 | Security Group Tag: none | EasyVPN: 0 ||
