sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ashksing | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.229 | Public IP: 106.193.138.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:09 IST Wed Jun 10 2020 | Duration: 10h:08m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1211199602 | Bytes Rx: 364305810 | IP Addr: 10.150.236.229 | Public IP: 106.193.138.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:09 IST Wed Jun 10 2020 | Duration: 10h:08m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1211199602 | Bytes Rx: 364305810 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7968 | Audit Session ID: 0a96cf6901f200005ee044c1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7968 | Audit Session ID: 0a96cf6901f200005ee044c1 | Security Group Tag: none | EasyVPN: 0 ||
Username: VasuVenk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.166 | Public IP: 122.164.157.220 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:01:15 IST Wed Jun 10 2020 | Duration: 10h:03m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 883748564 | Bytes Rx: 122004184 | IP Addr: 10.150.236.166 | Public IP: 122.164.157.220 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:01:15 IST Wed Jun 10 2020 | Duration: 10h:03m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 883748564 | Bytes Rx: 122004184 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7982 | Audit Session ID: 0a96cf6901f2e0005ee045f3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7982 | Audit Session ID: 0a96cf6901f2e0005ee045f3 | Security Group Tag: none | EasyVPN: 0 ||
Username: prborkar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.167 | Public IP: 103.110.254.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:01:42 IST Wed Jun 10 2020 | Duration: 10h:03m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 917505061 | Bytes Rx: 425116621 | IP Addr: 10.150.236.167 | Public IP: 103.110.254.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:01:42 IST Wed Jun 10 2020 | Duration: 10h:03m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 917505061 | Bytes Rx: 425116621 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7984 | Audit Session ID: 0a96cf6901f300005ee0460e | Security Group Tag: none | EasyVPN: 0 |Session ID: 7984 | Audit Session ID: 0a96cf6901f300005ee0460e | Security Group Tag: none | EasyVPN: 0 ||
Username: rajatj | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.123 | Public IP: 182.64.69.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:19 IST Wed Jun 10 2020 | Duration: 10h:01m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1253940082 | Bytes Rx: 792362696 | IP Addr: 10.150.237.123 | Public IP: 182.64.69.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:19 IST Wed Jun 10 2020 | Duration: 10h:01m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 1253940082 | Bytes Rx: 792362696 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7985 | Audit Session ID: 0a96cf6901f310005ee0466f | Security Group Tag: none | EasyVPN: 0 |Session ID: 7985 | Audit Session ID: 0a96cf6901f310005ee0466f | Security Group Tag: none | EasyVPN: 0 ||
Username: sbalagar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.126 | Public IP: 157.46.63.232 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:04:16 IST Wed Jun 10 2020 | Duration: 10h:00m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 333633170 | Bytes Rx: 174117050 | IP Addr: 10.150.237.126 | Public IP: 157.46.63.232 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:04:16 IST Wed Jun 10 2020 | Duration: 10h:00m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 333633170 | Bytes Rx: 174117050 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7989 | Audit Session ID: 0a96cf6901f350005ee046a8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7989 | Audit Session ID: 0a96cf6901f350005ee046a8 | Security Group Tag: none | EasyVPN: 0 ||
Username: rpborhad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.64 | Public IP: 223.189.9.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:08:38 IST Wed Jun 10 2020 | Duration: 9h:56m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 270559622 | Bytes Rx: 73617914 | IP Addr: 10.150.236.64 | Public IP: 223.189.9.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:08:38 IST Wed Jun 10 2020 | Duration: 9h:56m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 270559622 | Bytes Rx: 73617914 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7992 | Audit Session ID: 0a96cf6901f380005ee047ae | Security Group Tag: none | EasyVPN: 0 |Session ID: 7992 | Audit Session ID: 0a96cf6901f380005ee047ae | Security Group Tag: none | EasyVPN: 0 ||
Username: deependra.kumar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.65 | Public IP: 103.110.253.183 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:09:10 IST Wed Jun 10 2020 | Duration: 9h:55m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 854742046 | Bytes Rx: 187036417 | IP Addr: 10.150.236.65 | Public IP: 103.110.253.183 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:09:10 IST Wed Jun 10 2020 | Duration: 9h:55m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 854742046 | Bytes Rx: 187036417 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7993 | Audit Session ID: 0a96cf6901f390005ee047ce | Security Group Tag: none | EasyVPN: 0 |Session ID: 7993 | Audit Session ID: 0a96cf6901f390005ee047ce | Security Group Tag: none | EasyVPN: 0 ||
Username: VysAmara | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.7 | Public IP: 106.198.82.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:20:37 IST Wed Jun 10 2020 | Duration: 9h:44m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1803935592 | Bytes Rx: 83758419 | IP Addr: 10.150.237.7 | Public IP: 106.198.82.121 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:20:37 IST Wed Jun 10 2020 | Duration: 9h:44m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1803935592 | Bytes Rx: 83758419 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 8003 | Audit Session ID: 0a96cf6901f430005ee04a7d | Security Group Tag: none | EasyVPN: 0 |Session ID: 8003 | Audit Session ID: 0a96cf6901f430005ee04a7d | Security Group Tag: none | EasyVPN: 0 ||
Username: Niknanaw | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.14 | Public IP: 27.97.132.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:22:22 IST Wed Jun 10 2020 | Duration: 9h:42m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1424561425 | Bytes Rx: 717053534 | IP Addr: 10.150.237.14 | Public IP: 27.97.132.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:22:22 IST Wed Jun 10 2020 | Duration: 9h:42m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1424561425 | Bytes Rx: 717053534 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 8009 | Audit Session ID: 0a96cf6901f490005ee04ae6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 8009 | Audit Session ID: 0a96cf6901f490005ee04ae6 | Security Group Tag: none | EasyVPN: 0 ||
Username: abhiramb | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.18 | Public IP: 27.7.18.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:25:57 IST Wed Jun 10 2020 | Duration: 9h:38m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 156064049 | Bytes Rx: 173535968 | IP Addr: 10.150.237.18 | Public IP: 27.7.18.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:25:57 IST Wed Jun 10 2020 | Duration: 9h:38m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 156064049 | Bytes Rx: 173535968 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 8014 | Audit Session ID: 0a96cf6901f4e0005ee04bbd | Security Group Tag: none | EasyVPN: 0 |Session ID: 8014 | Audit Session ID: 0a96cf6901f4e0005ee04bbd | Security Group Tag: none | EasyVPN: 0 ||
