sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: verma.aman | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.151 | Public IP: 1.38.44.54 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 02:03:10 UTC Sat Jul 18 2020 | Duration: 2d 3h:27m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1119119101 | Bytes Rx: 133464156 | IP Addr: 10.145.233.151 | Public IP: 1.38.44.54 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 02:03:10 UTC Sat Jul 18 2020 | Duration: 2d 3h:27m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1119119101 | Bytes Rx: 133464156 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7579 | Audit Session ID: 0a91072801d9b0005f12585e | Security Group Tag: none | EasyVPN: 0 |Session ID: 7579 | Audit Session ID: 0a91072801d9b0005f12585e | Security Group Tag: none | EasyVPN: 0 ||
Username: pankchau | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.160 | Public IP: 1.38.148.22 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:14:21 UTC Sat Jul 18 2020 | Duration: 1d 23h:15m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 355104459 | Bytes Rx: 251538528 | IP Addr: 10.145.233.160 | Public IP: 1.38.148.22 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:14:21 UTC Sat Jul 18 2020 | Duration: 1d 23h:15m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 355104459 | Bytes Rx: 251538528 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7644 | Audit Session ID: 0a91072801ddc0005f12933d | Security Group Tag: none | EasyVPN: 0 |Session ID: 7644 | Audit Session ID: 0a91072801ddc0005f12933d | Security Group Tag: none | EasyVPN: 0 ||
Username: verma.aman | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.191 | Public IP: 1.38.41.211 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:02:05 UTC Sun Jul 19 2020 | Duration: 22h:28m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 337709523 | Bytes Rx: 59689298 | IP Addr: 10.145.233.191 | Public IP: 1.38.41.211 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 07:02:05 UTC Sun Jul 19 2020 | Duration: 22h:28m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 337709523 | Bytes Rx: 59689298 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7770 | Audit Session ID: 0a91072801e5a0005f13efed | Security Group Tag: none | EasyVPN: 0 |Session ID: 7770 | Audit Session ID: 0a91072801e5a0005f13efed | Security Group Tag: none | EasyVPN: 0 ||
Username: bkdesai | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: Jabber | IP Addr: 10.145.248.34 | Public IP: 85.211.149.197 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:44:06 UTC Sun Jul 19 2020 | Duration: 12h:46m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 325034479 | Bytes Rx: 39091807 | IP Addr: 10.145.248.34 | Public IP: 85.211.149.197 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:44:06 UTC Sun Jul 19 2020 | Duration: 12h:46m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 325034479 | Bytes Rx: 39091807 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7871 | Audit Session ID: 0a91072801ebf0005f147856 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7871 | Audit Session ID: 0a91072801ebf0005f147856 | Security Group Tag: none | EasyVPN: 0 ||
Username: dougktl | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.207 | Public IP: 151.225.58.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:55:04 UTC Sun Jul 19 2020 | Duration: 12h:35m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 163684643 | Bytes Rx: 123347458 | IP Addr: 10.145.233.207 | Public IP: 151.225.58.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:55:04 UTC Sun Jul 19 2020 | Duration: 12h:35m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 163684643 | Bytes Rx: 123347458 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7874 | Audit Session ID: 0a91072801ec20005f147ae8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7874 | Audit Session ID: 0a91072801ec20005f147ae8 | Security Group Tag: none | EasyVPN: 0 ||
Username: scui | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.211 | Public IP: 111.201.49.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:26:26 UTC Mon Jul 20 2020 | Duration: 5h:03m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 93646217 | Bytes Rx: 36018771 | IP Addr: 10.145.233.211 | Public IP: 111.201.49.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:26:26 UTC Mon Jul 20 2020 | Duration: 5h:03m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 93646217 | Bytes Rx: 36018771 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7911 | Audit Session ID: 0a91072801ee70005f14e4b2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7911 | Audit Session ID: 0a91072801ee70005f14e4b2 | Security Group Tag: none | EasyVPN: 0 ||
Username: suchdey | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.212 | Public IP: 103.215.148.6 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:23:39 UTC Mon Jul 20 2020 | Duration: 4h:06m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 170477908 | Bytes Rx: 139281200 | IP Addr: 10.145.233.212 | Public IP: 103.215.148.6 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:23:39 UTC Mon Jul 20 2020 | Duration: 4h:06m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 170477908 | Bytes Rx: 139281200 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7912 | Audit Session ID: 0a91072801ee80005f14f21b | Security Group Tag: none | EasyVPN: 0 |Session ID: 7912 | Audit Session ID: 0a91072801ee80005f14f21b | Security Group Tag: none | EasyVPN: 0 ||
Username: kachandr | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.213 | Public IP: 42.111.131.199 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:39:28 UTC Mon Jul 20 2020 | Duration: 3h:50m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 532394516 | Bytes Rx: 69543604 | IP Addr: 10.145.233.213 | Public IP: 42.111.131.199 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:39:28 UTC Mon Jul 20 2020 | Duration: 3h:50m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 532394516 | Bytes Rx: 69543604 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7915 | Audit Session ID: 0a91072801eeb0005f14f5d0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7915 | Audit Session ID: 0a91072801eeb0005f14f5d0 | Security Group Tag: none | EasyVPN: 0 ||
Username: Yinamdar | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.216 | Public IP: 42.108.250.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:10:02 UTC Mon Jul 20 2020 | Duration: 2h:20m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 182068134 | Bytes Rx: 45237250 | IP Addr: 10.145.233.216 | Public IP: 42.108.250.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:10:02 UTC Mon Jul 20 2020 | Duration: 2h:20m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 182068134 | Bytes Rx: 45237250 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7919 | Audit Session ID: 0a91072801eef0005f150b0a | Security Group Tag: none | EasyVPN: 0 |Session ID: 7919 | Audit Session ID: 0a91072801eef0005f150b0a | Security Group Tag: none | EasyVPN: 0 ||
Username: zLiu | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.209 | Public IP: 123.123.132.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:28:25 UTC Mon Jul 20 2020 | Duration: 2h:01m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 767741545 | Bytes Rx: 52463881 | IP Addr: 10.145.233.209 | Public IP: 123.123.132.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:28:25 UTC Mon Jul 20 2020 | Duration: 2h:01m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 767741545 | Bytes Rx: 52463881 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7921 | Audit Session ID: 0a91072801ef10005f150f59 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7921 | Audit Session ID: 0a91072801ef10005f150f59 | Security Group Tag: none | EasyVPN: 0 ||
Username: subbhatt | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.218 | Public IP: 42.108.227.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:37:23 UTC Mon Jul 20 2020 | Duration: 1h:52m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 106942225 | Bytes Rx: 26762060 | IP Addr: 10.145.233.218 | Public IP: 42.108.227.61 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:37:23 UTC Mon Jul 20 2020 | Duration: 1h:52m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 106942225 | Bytes Rx: 26762060 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7925 | Audit Session ID: 0a91072801ef50005f151173 | Security Group Tag: none | EasyVPN: 0 |Session ID: 7925 | Audit Session ID: 0a91072801ef50005f151173 | Security Group Tag: none | EasyVPN: 0 ||
